,Columns,Missing_data_before_cleaning (%),Missing_data_after_cleaning (%)
88,Main_source_of_drinking_water_Tubewell_Borehole_Households,4.22,4.22
89,Household_size_1_person_Households,4.38,0.31
90,Household_size_2_persons_Households,5.31,0.47
91,Household_size_1_to_2_persons,5.31,0.47
92,Household_size_3_persons_Households,4.38,0.47
93,Household_size_3_to_5_persons_Households,4.53,0.31
94,Household_size_4_persons_Households,6.56,0.78
95,Household_size_5_persons_Households,4.84,0.31
96,Household_size_6_8_persons_Households,5.62,5.62
97,Household_size_9_persons_and_above_Households,4.69,4.69
98,Location_of_drinking_water_source_Away_Households,4.38,4.38
99,Married_couples_1_Households,4.69,4.69
100,Married_couples_2_Households,4.53,4.53
101,Married_couples_3_Households,5.47,5.47
102,Married_couples_3_or_more_Households,5.0,5.0
103,Married_couples_4_Households,4.06,4.06
104,Married_couples_5__Households,4.53,4.53
105,Married_couples_None_Households,4.69,4.69
106,Power_Parity_Less_than_Rs_45000,4.53,1.09
107,Power_Parity_Rs_45000_90000,6.72,0.62
108,Power_Parity_Rs_90000_150000,5.16,0.47
109,Power_Parity_Rs_45000_150000,4.69,0.16
110,Power_Parity_Rs_150000_240000,4.53,0.0
111,Power_Parity_Rs_240000_330000,5.47,0.0
112,Power_Parity_Rs_150000_330000,3.75,0.0
113,Power_Parity_Rs_330000_425000,5.16,0.16
114,Power_Parity_Rs_425000_545000,4.69,0.31
115,Power_Parity_Rs_330000_545000,3.59,0.16
116,Power_Parity_Above_Rs_545000,4.69,0.62
117,Total_Power_Parity,5.0,0.94
